date,total_tests,positive_tests,college,url,ipeds_id,notes,day,week,state
2020-09-22,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Tuesday,37,Indiana
2020-09-23,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Wednesday,38,Indiana
2020-09-24,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Thursday,38,Indiana
2020-09-25,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Friday,38,Indiana
2020-09-26,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Saturday,38,Indiana
2020-09-27,97.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Sunday,38,Indiana
2020-09-28,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Monday,38,Indiana
2020-09-29,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Tuesday,38,Indiana
2020-09-30,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Wednesday,39,Indiana
2020-10-01,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Thursday,39,Indiana
2020-10-02,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Friday,39,Indiana
2020-10-03,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Saturday,39,Indiana
2020-10-04,98.0,4.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Sunday,39,Indiana
2020-10-05,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Monday,39,Indiana
2020-10-06,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Tuesday,39,Indiana
2020-10-07,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Wednesday,40,Indiana
2020-10-08,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Thursday,40,Indiana
2020-10-09,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Friday,40,Indiana
2020-10-10,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Saturday,40,Indiana
2020-10-11,172.0,9.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Sunday,40,Indiana
2020-10-12,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Monday,40,Indiana
2020-10-13,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Tuesday,40,Indiana
2020-10-14,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Wednesday,41,Indiana
2020-10-15,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Thursday,41,Indiana
2020-10-16,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Friday,41,Indiana
2020-10-17,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Saturday,41,Indiana
2020-10-18,149.0,2.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Sunday,41,Indiana
2020-10-19,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Monday,41,Indiana
2020-10-20,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Tuesday,41,Indiana
2020-10-21,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Wednesday,42,Indiana
2020-10-22,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Thursday,42,Indiana
2020-10-23,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Friday,42,Indiana
2020-10-24,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Saturday,42,Indiana
2020-10-25,143.0,2.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Sunday,42,Indiana
2020-10-26,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Monday,42,Indiana
