college,ipeds_id,enrollment_total,enrollment_fulltime,institution_size_bin,endowment_per_fte,percent_admitted,testing_approach,status,url,urban_rural_designation,fips,city,state,county,county_population
Quinsigamond Community College,167534,8452,3337,,,,no clear plan,fully online,https://www.qcc.edu/services/health-wellness/coronavirus-covid-19,Medium metro,25027,Worcester,Massachusetts,Worcester,830662
Regis College,167598,2757,1320,"1,000 - 4,999",19475.0,79.0,regular testing,primarily online,https://www.regiscollege.edu/covid-19/reporting-and-testing/weekly-reporting,Large fringe metro,25017,Weston,Massachusetts,Middlesex,1611699
Salem State University,167729,8338,5982,"5,000 - 9,999",3221.0,86.0,surveillance,hybrid,https://www.salemstate.edu/campus-life/student-services/counseling-and-health-services/counseling-services/monitoring-coronavirus-outbreak/covid-19-testing-report,Large fringe metro,25009,Salem,Massachusetts,Essex,789034
Simmons University,167783,6082,3119,"5,000 - 9,999",30910.0,73.0,regular testing,fully online,https://www.simmons.edu/coronavirus/protecting-our-community/testing-dashboard,Large central metro,25025,Boston,Massachusetts,Suffolk,803907
Smith College,167835,2903,2868,"1,000 - 4,999",611178.0,32.0,regular testing,fully online,https://www.smith.edu/covid19/health-safety/coronavirus-screening,Medium metro,25015,Northampton,Massachusetts,Hampshire,160830
Springfield College,167899,3139,2911,"1,000 - 4,999",23530.0,68.0,surveillance,primarily in person,https://springfield.edu/covid/dashboard,Medium metro,25013,Springfield,Massachusetts,Hampden,466372
Springfield Technical Community College,167905,6622,3085,,,,surveillance,primarily online,https://www.stcc.edu/coronavirus/,Medium metro,25013,Springfield,Massachusetts,Hampden,466372
Stonehill College,167996,2556,2513,"1,000 - 4,999",83895.0,68.0,regular testing,hybrid,https://www.stonehill.edu/offices-and-services/health-services/health-alerts/novel-coronavirus/,Large fringe metro,25005,Easton,Massachusetts,Bristol,565217
Suffolk University,168005,7186,5975,"5,000 - 9,999",34598.0,84.0,regular testing,primarily online,https://www.suffolk.edu/student-life/health-wellness/coronavirus-health-advisory/campus-reopening-2020/suffolk-covid-19-testing-data,Large central metro,25025,Boston,Massachusetts,Suffolk,803907
The New England Conservatory of Music,167057,791,738,,,,regular testing,hybrid,https://necmusic.edu/nec-covid-19-testing-program,Large central metro,25025,Boston,Massachusetts,Suffolk,803907
Tufts University,168148,11586,10718,"10,000 - 19,999",157828.0,15.0,surveillance,hybrid,https://coronavirus.tufts.edu/testing-metrics,Large fringe metro,25017,Medford,Massachusetts,Middlesex,1611699
University of Massachusetts Medical School Worcester,166708,1185,1115,"1,000 - 4,999",202575.0,,regular testing,hybrid,https://www.umassmed.edu/rti/therapeutics/coronavirus/coronavirus-resources/,Medium metro,25027,Worcester,Massachusetts,Worcester,830662
University of Massachusetts-Amherst,166629,30593,24343,"20,000 and above",11333.0,64.0,surveillance,hybrid,https://www.umass.edu/coronavirus/dashboard,Medium metro,25015,Amherst,Massachusetts,Hampshire,160830
University of Massachusetts-Boston,166638,16164,11268,"10,000 - 19,999",6490.0,76.0,regular testing,primarily online,https://www.umb.edu/coronavirus/dashboard,Large central metro,25025,Boston,Massachusetts,Suffolk,803907
University of Massachusetts-Dartmouth,167987,8513,6531,"5,000 - 9,999",7372.0,75.0,regular testing,hybrid,https://www.umassd.edu/emergency/coronavirus/covid-testing/,Large fringe metro,25005,Dartmouth,Massachusetts,Bristol,565217
University of Massachusetts-Lowell,166513,18242,11913,"10,000 - 19,999",6254.0,73.0,regular testing,primarily online,https://www.uml.edu/alert/coronavirus/,Large fringe metro,25017,Lowell,Massachusetts,Middlesex,1611699
Wellesley College,168218,2534,2391,"1,000 - 4,999",774545.0,22.0,regular testing,primarily online,https://www.wellesley.edu/coronavirus/dashboard,Large fringe metro,25021,Wellesley,Massachusetts,Norfolk,706775
Wentworth Institute of Technology,168227,4516,4005,"1,000 - 4,999",23608.0,69.0,regular testing,primarily in person,https://wit.edu/student-life/re-entry/dashboard,Large central metro,25025,Boston,Massachusetts,Suffolk,803907
Western New England University,168254,3780,3129,"1,000 - 4,999",18165.0,85.0,surveillance,primarily in person,https://www1.wne.edu/coronavirus/dashboard/index.cfm,Medium metro,25013,Springfield,Massachusetts,Hampden,466372
Westfield State University,168263,6100,4893,"5,000 - 9,999",1620.0,87.0,regular testing,hybrid,https://www.westfield.ma.edu/safe-fall-opening/covid-19-dashboard,Medium metro,25013,Westfield,Massachusetts,Hampden,466372
Wheaton College,168281,1760,1751,"1,000 - 4,999",115592.0,74.0,regular testing,hybrid,https://wheatoncollege.edu/about-wheaton-college/return-to-campus-fall-2020-plans/screening-testing-contact-tracing/covid-19-dashboard/,Large fringe metro,25005,Norton,Massachusetts,Bristol,565217
Williams College,168342,2149,2096,"1,000 - 4,999",1239390.0,13.0,regular testing,primarily in person,https://www.williams.edu/coronavirus/dashboard/,Small metro,25003,Williamstown,Massachusetts,Berkshire,124944
Worcester Polytechnic Institute,168421,6874,5371,"5,000 - 9,999",84810.0,49.0,regular testing,hybrid,https://www.wpi.edu/we-are-wpi/health-and-safety/dashboard,Medium metro,25027,Worcester,Massachusetts,Worcester,830662
Worcester State University,168430,6217,4331,"5,000 - 9,999",3165.0,66.0,regular testing,primarily in person,https://www.worcester.edu/covid19-testing-dashboard/,Medium metro,25027,Worcester,Massachusetts,Worcester,830662
