state,local_area,Latitude,Longitude,county
Utah,"San Juan County, UT",37.4634157,-109.7591675,1
Utah,"Sanpete County, UT",39.3090085,-111.5706786,1
Utah,"Grand County, UT",39.0086287,-109.5613343,1
Utah,"Weber County, UT",41.2602635,-111.9522491,1
Utah,"Wasatch County, UT",40.3629418,-110.9983515,1
Utah,"Davis County, UT",40.9628845,-112.0953297,1
Utah,"Washington County, UT",37.3224877,-113.4776098,1
Utah,"Cache County, UT",41.7560026,-111.7614661,1
Utah,"Morgan County, UT",41.0576176,-111.6183755,1
Utah,"Iron County, UT",37.7854715,-113.1918021,1
Utah,"Utah County, UT",40.0966287,-111.5706786,1
Utah,"Salt Lake County, UT",40.644188,-111.9522491,1
Utah,"Tooele County, UT",40.507092,-113.0011989,1
Utah,"Juab County, UT",39.7108104,-112.7152125,1
Utah,"Provo (city), UT",40.2330185,-111.6644888,1
Utah,"Orem (city), UT",40.2968979,-111.6946475,1
Utah,,,,0
Utah,"Salt Lake City (city), UT",40.7607793,-111.8910474,1
Virginia,"Arlington County, VA",38.8816208,-77.0909809,1
Virginia,"Manassas City, VA",38.7509488,-77.4752667,1
Virginia,"Manassas Park City, VA",38.7840035,-77.4697111,1
Virginia,"Prince William County, VA",38.7838939,-77.6077865,1
Virginia,"Warren County, VA",38.9331749,-78.2476146,1
Washington,"Benton County, WA",46.3166362,-119.5021582,1
Washington,"Franklin County, WA",46.4937363,-118.8672379,1
Washington,"Clark County, WA",45.7466471,-122.5194378,1
Washington,"King County, WA",47.5480339,-121.9836029,1
Washington,"Chelan County, WA",47.9445331,-120.6749068,1
Washington,"Klickitat County, WA",45.888824,-120.9711029,1
Washington,"Pierce County, WA",47.0675877,-122.1295269,1
Washington,"Snohomish County, WA",48.0329979,-121.8339472,1
Washington,"Whatcom County, WA",48.8787167,-121.9718658,1
Washington,"Yakima County, WA",46.543606,-120.7558291,1
Washington,"Douglas County, WA",47.7790617,-119.7474606,1
Washington,"Skagit County, WA",48.4241961,-121.7114362,1
Washington,"Okanogan County, WA",48.5896831,-119.652214,1
Washington,"Columbia County, WA",46.2775138,-117.814262,1
Washington,"Stevens County, WA",48.4558249,-117.9059909,1
Washington,"Whitman County, WA",46.8363403,-117.5887295,1
Washington,"Lincoln County, WA",47.5320525,-118.4701194,1
Washington,"Garfield County, WA",46.5185629,-117.5276611,1
Washington,"Skamania County, WA",45.9428524,-121.8962257,1
Washington,"Pend Oreille County, WA",48.4359065,-117.3173375,1
Washington,"Wahkiakum County, WA",46.3259463,-123.4945592,1
Washington,"Asotin County, WA",46.1460123,-117.2085208,1
Washington,"Ferry County, WA",48.4718375,-118.4974069,1
Washington,"Cowlitz County, WA",46.1746472,-122.7746902,1
Washington,"Clallam County, WA",48.0405122,-124.016766,1
Washington,"Walla Walla County, WA",46.2369842,-118.5854769,1
Washington,"Kitsap County, WA",47.6476607,-122.6412583,1
Washington,"Spokane County, WA",47.658693,-117.4225481,1
Washington,"Jefferson County, WA",47.7424541,-123.3040062,1
Washington,"Grant County, WA",47.1981147,-119.3732456,1
Washington,"San Juan County, WA",48.6118035,-122.9602621,1
Washington,"Adams County, WA",46.9272238,-118.51098,1
Washington,"Pacific County, WA",46.5180824,-123.8264512,1
Washington,"Island County, WA",48.19765,-122.579457,1
Washington,"Lewis County, WA",46.6195461,-122.4554639,1
Washington,"Mason County, WA",47.4251146,-123.1951376,1
Washington,"Kittitas County, WA",47.1749548,-120.931941,1
Washington,"Thurston County, WA",46.8645747,-122.7695986,1
Washington,"Grays Harbor County, WA",46.9953526,-123.7012468,1
Washington,"Seattle (city), WA",47.6038962,-122.3298442,1
West Virginia,"Monongalia County, WV",39.6695849,-79.9640339,1
